"","","","","","","","","","","","","","             TIME TABLE JULY TO DEC  2024","","","","","","","","","","","","","","","","","","","","","","","","","","","             TIME TABLE JULY TO DEC  2024","","","","","","","","","","","","","","","","","","","","","","","","             TIME TABLE JULY TO DEC  2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","             TIME TABLE JULY TO DEC  2024","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","FIRST YEAR ","","","","","","","","","","","","","","","","","","","","","","","","","","","FIRST YEAR ","","","","","","","","","","","","","","","","","","","","","","","","FIRST YEAR ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FIRST YEAR ","","","","","","","","","","","","","",""
"","","LECTURE","","1A1","","","","","","","","","","","","","","","","1A2","","","","","","","","","","","","","","","","1A3","","","","","","","","","","","","","","","","1A4","","","","","","","","","","1A5","","","","","","","","","","1A6","","","","","","","","","","1A7","","","","","","","","","","1A8","","","","","","","","","","1X1","","","","","","","","","",""
"","","TUTORIAL","","1A11","","1A12","","1A13","","1A14","","1A15","","1A16","","1A17","","1A18","","1A21","","1A22","","1A23","","1A24","","1A25","","1A26","","1A27","","1A28","","1A31","","1A32","","1A33","","1A34","","1A35","","1A36","","1A37","","1A38","","1A41","","1A42","","1A43","","1A44","","1A45","","1A51","","1A52","","1A53","","1A54","","1A55","","1A61","","1A62","","1A63","","1A64","","1A65","","1A71","","1A72","","1A73","","1A74","","1A75","","1A81","","1A82","","1A83","","1A84","","1A85","","1X11","","1X12","","1X13","","1X14","","","",""
"DAY","SR NO","PRACTICAL","HOURS","1A1A","","1A1B","","1A1C","","1A1D","","1A1E","","1A1F","","1A1G","","1A1H","","1A2A","","1A2B","","1A2C","","1A2D","","1A2E","","1A2F","","1A2G","","1A2H","","1A3A","","1A3B","","1A3C","","1A3D","","1A3E","","1A3F","","1A3G","","1A3H","","1A4A","","1A4B","","1A4C","","1A4D","","1A4E","","1A5A","","1A5B","","1A5C","","1A5D","","1A5E","","1A6A","","1A6B","","1A6C","","1A6D","","1A6E","","1A7A","","1A7B","","1A7C","","1A7D","","1A7E","","1A8A","","1A8B","","1A8C","","1A8D","","1A8E","","1X1A","","1X1B","","1X1C","","1X1D","","DAY","SR.NO","HOURS"
"","","OLD SUBSECTIONS","","1A1","","1 A2","","1 A3","","1 A4","","1 A5","","1 A6","","1 A7","","1 A8","","1 A9","","1 A10","","1 A11","","1 A12","","1 A13","","1 A14","","1 A15","","1 A16","","1 A17","","1 A18","","1 A19","","1 A20","","1 A21","","1 A22","","1 A23","","1 A24","","1 A25","","1 A26","","1 A27","","1 A28","","1 A29","","1 A30","","1 A31","","1 A32","","1 A33","","1 A34",""," 1 A35","","1 A36",""," 1 A37","","1 A38",""," 1 A39","","1 A40",""," 1 A41","","1 A42","","1 A43","","1 A44","","1 A45",""," 1 A46",""," 1 A47",""," 1 A48","","1 A49","","1 ML1","","1 ML 2","","1 ML 3","","1 ML 4","","","",""
"","1","","8:00 AM","","","","","","","","","","","","","","","","","","","","","UMA022 T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UES103 P","","","","UMA022 T","","UES103 P","","","","","","","","","","","","","","","","","","","","UES013 L","","","","","","","","","1","8:00 AM"
"M","","","","","","","","","","","","","","","","","","","","","","","","T101","TA10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PL-1","","","","E103","RA1","PL-2","","","","","","","","","","","","","","","","","","","","LP105","","","","","","","MSC","M","",""
"","2","","8:50:AM","","","","","","","","","","","","","","","","","UEN008 L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UES013 L","","","","","","","","","","","","","","","","","","","","","","","","LAB","","UMA022 T","","","","LAB","","","","","","","","","","UCB009 L","","","","","","","","","","UES103 L","","","","","","","","","2","8:50 AM"
"O","","","","","","","","","","","","","","","","","","","","LP101","","","","","","","","","","","","","","","ADH","","","","","","","","","","","","","","","","","LP102","","","","","","","","","YT","","","","","","","","","","","","","","","ISH-RA","","E103","RA1","","","SKH-RA","","","","","","","","","","LP103","","","","","","","","","BM","LP105","","","","","","","AMR","O","",""
